@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,disgust,fear,happiness,sadness}

@DATA
0.090342,0.007961,2.938685,0.188520,0.227175,0.629698,0.010250,0.140875,-29.925222,2.708200,0.429569,0.267254,-0.306267,0.160163,-0.113240,0.074814,-0.125622,-0.100104,-0.180723,0.019187,-0.117257,0.022356,0.004955,0.067593,0.021978,0.023499,0.014066,0.035158,0.004015,0.006564,0.017860,0.023085,0.002813,0.025279,0.053509,0.013368,0.253242,0.055994,0.024707,0.484730,0.005175,0.133806,3.082738,0.766847,0.574930,0.398449,0.408607,0.280883,0.273495,0.178016,0.197758,0.187184,0.190853,0.180791,0.147238,0.023811,0.005914,0.041735,0.020128,0.016890,0.012538,0.020119,0.007395,0.008570,0.014571,0.019420,0.002638,0.009358,anger
0.068607,0.007246,2.955427,0.173270,0.219877,0.461127,0.007720,0.091542,-29.046489,2.789392,0.714138,0.347719,-0.163856,0.189411,-0.117240,0.070358,-0.227113,-0.090830,-0.190965,-0.049883,-0.066255,0.024668,0.001511,0.069498,0.030980,0.030912,0.015185,0.026476,0.008428,0.004738,0.017697,0.028514,0.002680,0.025091,0.029912,0.010794,0.219372,0.029320,0.016009,0.254966,0.002550,0.060902,1.892046,0.383250,0.732553,0.320924,0.282097,0.114722,0.233265,0.194536,0.162703,0.172331,0.163975,0.152071,0.132794,0.012752,0.001295,0.027945,0.018723,0.020565,0.009465,0.019387,0.020617,0.005403,0.009841,0.014745,0.001638,0.006109,anger
0.083682,0.008385,3.011248,0.177322,0.217283,0.642034,0.010635,0.130488,-28.491037,2.644015,0.394994,0.369900,-0.256373,0.247371,-0.109126,0.029823,-0.186527,0.018720,-0.207705,-0.034125,-0.103694,0.025557,0.007669,0.060782,0.013186,0.024831,0.013263,0.025363,0.006160,0.005160,0.024732,0.024502,0.002845,0.022825,0.039399,0.009239,0.152260,0.036475,0.024571,0.378779,0.005158,0.083925,1.954964,0.575498,0.546380,0.342665,0.382571,0.285524,0.266932,0.254338,0.221621,0.194008,0.182721,0.164153,0.160978,0.018539,0.009645,0.043291,0.013378,0.017303,0.009921,0.015505,0.009581,0.004855,0.023658,0.016183,0.002162,0.009213,anger
0.127652,0.005438,2.979717,0.220913,0.233083,0.795637,0.010147,0.220822,-29.085563,2.690340,0.500284,0.074124,-0.318842,0.111510,-0.093410,0.000247,-0.142490,0.010972,-0.189748,-0.005779,-0.115258,0.023048,0.004473,0.061084,0.023816,0.018175,0.014760,0.021073,0.003524,0.006573,0.018366,0.023045,0.004765,0.023971,0.106703,0.007237,0.285548,0.095890,0.036202,0.529754,0.004676,0.193364,2.224137,0.642341,0.584296,0.481242,0.373600,0.263731,0.270771,0.267028,0.215714,0.246206,0.201648,0.181827,0.204190,0.027963,0.005190,0.034057,0.014739,0.013679,0.016849,0.016494,0.009053,0.007997,0.019152,0.018337,0.004838,0.010376,anger
0.085680,0.008063,3.037790,0.187957,0.220685,0.642895,0.011795,0.114448,-29.085115,2.511040,0.019411,0.154319,-0.175473,0.054472,-0.076542,-0.003943,-0.288198,0.001342,-0.147010,-0.047883,-0.096765,0.018290,0.006492,0.055558,0.021472,0.016713,0.016134,0.041249,0.010717,0.007415,0.019728,0.017204,0.004556,0.027730,0.044103,0.009017,0.170944,0.041038,0.022460,0.431856,0.007421,0.077843,2.360371,0.781431,0.800050,0.461203,0.512156,0.322580,0.318516,0.286651,0.180119,0.263148,0.189179,0.205321,0.192490,0.019318,0.011259,0.042559,0.021444,0.016081,0.019064,0.036561,0.018301,0.008085,0.014787,0.011502,0.005167,0.012453,anger
0.099249,0.008123,3.016028,0.199853,0.228859,0.698408,0.010211,0.148417,-28.777156,2.598925,0.506511,0.237310,-0.144166,0.073090,-0.182185,0.207988,-0.338970,0.067890,-0.236652,-0.048927,-0.118779,0.027918,0.005850,0.080015,0.019657,0.022838,0.012268,0.023042,0.007294,0.005329,0.015195,0.022977,0.002733,0.028275,0.062545,0.013421,0.258424,0.049980,0.023993,0.456579,0.005482,0.133466,2.444657,0.522045,0.590641,0.367179,0.483164,0.247159,0.212875,0.265009,0.288117,0.218900,0.190806,0.215773,0.199828,0.026212,0.008964,0.057636,0.018943,0.012135,0.014070,0.013237,0.016764,0.004790,0.012393,0.016239,0.002145,0.011633,anger
0.087130,0.013046,3.029205,0.188368,0.216526,0.646354,0.011738,0.150500,-27.782707,2.745427,0.335149,-0.115989,-0.202856,-0.012572,-0.135320,0.091267,-0.190365,-0.063552,-0.098345,-0.041216,-0.018671,0.020743,0.004652,0.045127,0.026813,0.028179,0.019740,0.023582,0.008454,0.005846,0.019524,0.017394,0.004892,0.022319,0.061266,0.019872,0.184756,0.072763,0.030936,0.602555,0.006671,0.176719,2.887821,0.763714,0.875714,0.751024,0.523124,0.272487,0.284514,0.227146,0.226215,0.226763,0.221468,0.178742,0.185739,0.022767,0.006146,0.033414,0.023602,0.019967,0.026861,0.020604,0.017107,0.006352,0.017411,0.014094,0.007552,0.008873,anger
0.100591,0.006226,3.055791,0.201507,0.232351,0.653339,0.009190,0.171014,-29.730646,2.788282,0.432545,0.045662,-0.206992,-0.049317,-0.071176,-0.043810,-0.122814,-0.030069,-0.146208,-0.089256,-0.128143,0.029469,0.005862,0.063797,0.025118,0.021420,0.023691,0.025074,0.003327,0.007497,0.013160,0.019402,0.005929,0.026718,0.069614,0.009715,0.144022,0.066465,0.027978,0.560569,0.004490,0.172118,2.503817,0.742106,0.576167,0.444408,0.383357,0.272666,0.228557,0.235140,0.194327,0.242502,0.160455,0.189550,0.130125,0.023611,0.007168,0.041263,0.024697,0.017065,0.026711,0.019255,0.005631,0.013125,0.011114,0.015135,0.005659,0.010322,anger
0.104396,0.008018,3.061525,0.208885,0.227547,0.765662,0.008204,0.165906,-27.663265,2.489025,0.512978,0.227658,-0.103090,0.276688,-0.197149,0.041137,-0.240877,-0.019865,-0.269968,-0.008624,-0.193074,0.026871,0.003668,0.068977,0.022085,0.021013,0.010791,0.027296,0.006889,0.008253,0.016982,0.021029,0.003910,0.023853,0.071923,0.012003,0.145189,0.070985,0.034361,0.541160,0.003390,0.151249,2.014104,0.680895,0.737729,0.371181,0.325192,0.307745,0.278889,0.229949,0.165490,0.212849,0.170755,0.170912,0.154576,0.017514,0.002959,0.035801,0.015960,0.014119,0.009019,0.020634,0.011183,0.009496,0.013948,0.011975,0.004440,0.008478,anger
0.182270,0.013485,3.050293,0.271127,0.244777,0.983509,0.008735,0.294833,-28.596033,2.384608,0.589168,0.184055,-0.310977,0.010749,-0.085424,-0.023278,-0.198905,-0.042412,-0.095307,-0.014382,-0.051873,0.021768,0.002715,0.049985,0.018212,0.024271,0.012489,0.021289,0.001968,0.009699,0.014970,0.026063,0.003609,0.022079,0.158855,0.017597,0.193301,0.119538,0.028647,0.590655,0.005006,0.231383,2.491793,0.644739,0.473456,0.370645,0.372620,0.262107,0.316901,0.182851,0.218950,0.207664,0.198809,0.172098,0.154464,0.022923,0.002729,0.040472,0.016548,0.023195,0.018760,0.015319,0.003159,0.015679,0.014088,0.020046,0.003590,0.010024,anger
